gene,chromosome,oe_lof_upper,pLI,mis_z
XRRA1,11,0.783,8.3651e-09,-0.031886
SAMD9L,7,0.783,5.5651e-15,1.6345
CYP4F22,19,0.783,5.2921e-06,0.40167
TTC37,5,0.783,1.725e-29,0.48158
DNAJB13,11,0.783,0.0028524,0.6776
DTX3L,3,0.783,5.2697e-06,0.33023
DNAJC16,1,0.783,3.6232e-11,0.37401
PAQR9,3,0.783,0.1367,2.8261
TOR2A,9,0.783,0.13617,0.24672
PAK4,19,0.784,4.3602e-05,0.59041
SLC35D1,1,0.784,0.00035546,0.025505
SLMO2,20,0.784,0.136,0.79173
TIMP1,X,0.784,0.4993,1.0267
TAF6,7,0.784,8.2703e-09,1.9661
GJA4,1,0.784,0.055777,1.2144
TTC27,2,0.784,4.9343e-14,-0.58794
SDCCAG8,1,0.784,1.1809e-11,-0.098609
SCN7A,2,0.784,2.1568e-17,0.40709
DCTN6,8,0.784,0.055741,0.53997
BCCIP,10,0.784,0.0078502,-0.098902
GSS,20,0.785,1.7584e-06,0.77425
MAMDC2,9,0.785,3.1044e-10,0.27513
CCDC144A,17,0.785,4.7554e-14,2.0237
IGSF11,3,0.785,0.00099965,1.2091
ADRA1B,5,0.785,0.13541,1.1798
CKM,19,0.785,0.0078152,0.66094
ITGA10,1,0.785,2.4464e-19,0.88094
TMEM182,2,0.785,0.05562,0.092044
BRK1,3,0.785,0.68706,1.2069
BRIP1,17,0.786,6.206e-17,1.2002
ERCC3,2,0.786,3.4312e-11,0.93225
OPN1SW,7,0.786,0.021134,0.0080304
PRPS1L1,7,0.786,0.28673,-0.44358
YOD1,1,0.786,0.1348,0.52433
GPR161,1,0.786,0.00034935,1.5139
HJURP,2,0.786,2.0485e-07,-0.29621
KIAA0226,3,0.787,1.387e-13,1.4688
BTLA,3,0.787,0.020987,1.4628
ZNF414,19,0.787,0.055057,1.2976
ATP10D,4,0.787,7.561e-20,0.66195
TAP2,6,0.787,6.799e-08,1.3915
L2HGDH,14,0.787,4.2231e-05,0.42469
FIGNL1,7,0.787,0.00012046,-0.52229
INPP5K,17,0.787,4.2264e-05,0.60108
EMP1,12,0.787,0.49706,0.099093
GPSM3,6,0.787,0.28641,0.86504
TBC1D2,9,0.787,2.9932e-10,1.054
CNGA2,X,0.787,0.00098232,-0.028456
EHD4,15,0.787,4.1903e-05,1.5494
MED4,13,0.788,0.0076107,1.0153
FOXC2,16,0.788,0.13356,-0.25113
NAIF1,9,0.788,0.28561,2.1696
TH,11,0.788,1.6878e-06,0.56435
BTBD1,15,0.788,0.00011935,1.4175
SFXN1,5,0.788,0.00097212,0.50732
ZDHHC7,16,0.788,0.00097756,0.59761
AK4,1,0.788,0.13353,1.2309
SLC4A1AP,2,0.788,8.6733e-10,0.24996
RP11-108K14.8,10,0.789,0.00096926,-0.51355
ZNF45,19,0.789,5.6996e-07,0.87999
SGCA,17,0.789,0.0027124,0.67626
SH3GL2,9,0.789,0.00011862,0.96328
RNPEPL1,2,0.789,4.124e-05,2.2245
DISC1,1,0.789,1.6756e-06,0.41037
CWC25,17,0.789,4.1031e-05,0.64827
MBP,18,0.789,0.28446,0.60316
KCTD5,16,0.789,0.054252,1.1909
GPR37,7,0.789,0.00033812,0.83929
AMT,3,0.789,0.0027214,-0.10117
NXPH3,17,0.789,0.28443,0.56254
CA11,19,0.79,0.00095695,1.8768
DSG2,18,0.79,2.7913e-10,0.2964
DTNB,2,0.79,2.7969e-10,0.56726
MIS18BP1,14,0.79,3.8309e-13,-0.28241
WEE2,7,0.79,4.8102e-06,0.5788
PI15,8,0.79,0.020554,1.0016
CAPN7,3,0.79,1.2865e-13,1.2134
TRIM47,17,0.79,0.00033657,0.57227
KIF15,3,0.79,9.5235e-25,1.5672
MAPK11,22,0.79,0.00033565,2.141
ARMC2,6,0.79,2.4785e-09,0.73588
THBD,20,0.791,0.053769,0.60196
C17orf99,17,0.791,0.13177,0.93747
FAM122A,9,0.791,0.4938,1.4661
MAGEA11,X,0.791,0.68445,1.2785
MKNK2,19,0.791,1.3965e-05,0.88534
COX5A,15,0.791,0.49407,0.24617
NKAIN3,8,0.791,0.05385,1.2601
GFOD1,6,0.791,0.053666,2.6407
CHID1,11,0.791,1.3831e-05,0.92833
NSUN7,4,0.791,4.7893e-06,0.47628
KCTD20,6,0.792,0.00094347,1.1912
RAG2,11,0.792,0.020287,0.19672
DCBLD1,6,0.792,6.325e-08,0.62208
PTP4A1,6,0.792,0.28236,2.0498
TMEM167B,1,0.792,0.68405,0.80588
TESPA1,12,0.792,4.6856e-06,0.7285
ZNF142,2,0.792,4.8098e-16,0.24089
PAPSS1,4,0.792,6.3322e-08,1.738
TUBA1C,12,0.792,0.0074331,2.171
RPL12,9,0.793,0.053094,1.2521
B4GALNT1,12,0.793,3.9259e-05,0.92428
ZNF501,3,0.793,0.28125,-0.52865
C1orf222,1,0.793,8.7836e-11,1.1558
PSMB4,1,0.793,0.0026437,0.46685
GAS2L2,17,0.793,1.5879e-06,-0.36041
SAP30BP,17,0.793,0.00011365,1.7462
AIM1L,1,0.793,9.7435e-12,1.3223
FAM149A,4,0.793,1.361e-05,-0.31503
CDH24,14,0.794,2.0554e-08,1.3917
STK10,5,0.794,1.2774e-14,1.47
CGRRF1,14,0.794,0.0073203,0.22294
MGLL,3,0.794,0.020016,1.0657
TTC5,14,0.794,4.6155e-06,0.53177
PCDH15,10,0.794,8.028300000000001e-25,-1.6759
OSR2,8,0.794,0.13046,1.8321
RCBTB1,13,0.794,1.5605e-06,1.0313
CCDC155,19,0.794,2.3366e-09,1.1692
SSX2IP,1,0.794,2.307e-09,0.37198
CDIPT,16,0.794,0.13014,0.71874
METTL3,14,0.794,1.799e-07,3.0462
ASXL1,20,0.794,1.2511e-14,0.63581
MRPL40,22,0.794,0.052924,-0.52491
CEP120,5,0.795,4.0887e-15,-0.23317
CTSD,11,0.795,0.00091747,1.3792
EXOC4,7,0.795,3.4137e-13,0.51602
TMED7-TICAM2,5,0.795,0.0025936,0.83148
SP140L,2,0.795,6.7873e-09,-0.086754
DEPDC1,1,0.795,7.635e-10,0.4427
RAD21L1,20,0.795,4.5316e-06,1.3854
AGL,1,0.795,2.7564e-27,-0.46134
C8orf46,8,0.795,0.12991,0.99366
KLHL41,2,0.795,0.00011107,0.88688
DRAP1,11,0.795,0.1299,0.86661
IQGAP2,5,0.795,8.4988e-27,1.2086
TRO,X,0.795,3.8486e-05,1.0439
KCNK13,14,0.795,0.05263,0.74282
TICAM2,5,0.795,0.0025936,0.83148
VWC2L,2,0.795,0.1298,1.5457
CHST3,10,0.795,0.0072431,0.78589
POMT2,14,0.795,9.4315e-12,0.076309
NLRP5,19,0.795,1.1427e-13,-2.2142
SLC35A3,1,0.795,0.0026044,1.4173
FAM186A,12,0.796,8.3001e-27,3.4858
CLIP4,2,0.796,5.9018e-08,0.4549
TPRN,9,0.796,0.0072201,-0.49696
RPS28,19,0.796,0.68259,1.5135
MFN1,3,0.796,2.5118e-10,1.2168
OLR1,12,0.796,0.007199,0.54982
HNMT,2,0.796,0.019734,0.66117
TSEN15,1,0.796,0.27906,1.1715
PHOX2A,11,0.796,0.49018,1.6001
STRADA,17,0.796,4.4847e-06,1.4895
EIF2D,1,0.796,2.2302e-09,1.5383
ZDHHC19,3,0.796,0.0071821,1.1671
ZNF839,14,0.796,3.8218e-05,0.92059
TEAD2,19,0.796,1.5226e-06,0.85782
DOK3,5,0.796,0.00090501,0.36432
VWCE,11,0.796,3.0509e-12,0.9022
TMEM104,17,0.796,3.8156e-05,0.35184
TGFBI,5,0.796,5.9686e-08,0.10185
GCM2,6,0.796,0.00091142,0.67613
PGF,14,0.797,0.1288,0.076839
IFT81,12,0.797,9.0878e-12,0.82819
MATN1,1,0.797,0.0025559,0.54519
RBAK-RBAKDN,7,0.797,0.48937,0.36152
ZNF460,19,0.797,0.68181,2.5474
RNF114,20,0.797,0.052109,1.0296
TARS,5,0.797,9.9483e-13,1.149
WRAP73,1,0.797,1.4988e-06,0.0071523
CDC7,1,0.797,4.4296e-06,0.68584
SCNN1B,16,0.798,5.7545e-08,0.21217
TMEM38B,9,0.798,0.019501,-0.050471
VIPAS39,14,0.798,7.2613e-10,0.85805
ZPBP,7,0.798,0.00031153,0.89464
ARL5A,2,0.798,0.1281,0.46675
NEK8,17,0.798,6.4566e-09,1.1453
DNAH3,16,0.798,1.5364e-64,0.029906
NLRP11,19,0.798,2.1548e-09,0.64616
IMPDH2,3,0.798,4.3635e-06,2.503
ADK,10,0.798,0.00031276,1.5049
MX2,21,0.798,6.4792e-09,0.58171
SLC39A13,11,0.799,0.0025092,1.2592
SLAMF1,1,0.799,0.0070368,0.66132
TNFSF14,19,0.799,0.051663,0.638
SNX4,3,0.799,5.6768e-08,0.88682
CTNS,17,0.799,0.00030924,-0.91768
ITGA7,12,0.799,4.2657e-17,0.35935
MRPS23,17,0.799,0.12774,0.16874
SLC52A3,20,0.8,0.019348,1.2469
LIN7C,11,0.8,0.051327,1.0887
MOB2,11,0.8,0.051345,1.0504
SLC39A6,18,0.8,4.9368e-07,1.1273
GCC1,7,0.8,1.4478e-06,0.6328
GFM1,3,0.8,9.278e-13,1.28
SPNS2,17,0.8,1.2449e-05,-0.067901
WDHD1,14,0.8,4.3694e-18,-0.13695
CHMP2A,19,0.8,0.12719,0.89776
CCDC124,19,0.8,0.27576,0.76217
CARKD,13,0.8,0.0069972,0.89467
MYO15A,17,0.8,1.2504000000000001e-56,0.64592
NDUFC2,11,0.8,0.68071,0.23764
ELF5,11,0.801,0.00086946,0.015283
GPX3,5,0.801,0.050966,0.56565
CD274,9,0.801,0.01916,0.89838
CCNDBP1,15,0.801,0.00030213,0.33221
KIAA0408,6,0.801,4.8741e-07,0.084277
RAP2B,3,0.801,0.48658,2.2536
TLR3,4,0.801,1.6349e-07,0.5139
FAM35A,10,0.801,1.2384e-05,0.38221
GBA,1,0.801,1.4355e-06,1.1739
KANK4,1,0.801,2.0713e-09,0.20258
PCDHGA12,5,0.801,1.423e-06,0.29914
B3GNT1,11,0.801,0.0069375,1.9031
PRKAG1,12,0.801,3.6224e-05,1.8491
SCN3B,11,0.801,0.05103,0.79405
C2orf81,2,0.801,0.12641,1.597
RNF130,5,0.801,0.00030327,1.768
SIX5,19,0.802,0.006924,-0.563
SLC39A1,1,0.802,0.12586,0.9526
TMEM132A,11,0.802,2.041e-09,0.79643
SQSTM1,5,0.802,0.00086035,-0.94006
SORBS3,8,0.802,8.2277e-12,-0.92379
ERCC6,10,0.802,5.1622e-22,0.098148
RIOK3,18,0.802,4.7708e-07,1.0637
EFNA3,1,0.802,0.12599,0.74714
PDILT,16,0.802,1.2202e-05,-0.3959
ALKBH4,7,0.802,0.12598,0.5622
TNK2,3,0.802,8.22e-12,-0.20219
LIG4,13,0.802,4.1635e-06,0.20156
ZSCAN2,15,0.802,3.5648e-05,-0.10247
CT55,X,0.802,0.48549,0.84162
ABHD17A,19,0.803,0.018945,1.4983
RP9,7,0.803,0.018956,0.69498
SNRPB2,20,0.803,0.050625,1.7667
C12orf50,12,0.803,4.7252e-07,-0.15817
RNFT2,12,0.803,1.2018e-05,2.0123
CHST15,10,0.803,3.5249e-05,1.3178
TUBG2,17,0.803,1.2102e-05,2.443
SH2B3,12,0.803,0.00010289,0.41489
SH3GL3,15,0.803,0.00010242,1.2059
TMEM179,14,0.803,0.67923,0.93064
CLEC5A,7,0.803,0.12568,0.23636
BCL2L13,22,0.803,0.0024411,0.30143
TMEM214,2,0.804,6.4957e-10,0.73109
C10orf71,10,0.804,1.9625e-09,0.68665
HEY1,8,0.804,0.050181,0.50399
F3,1,0.804,0.018872,0.6141
ZNF397,18,0.804,3.4902e-05,1.0256
SGSH,17,0.804,0.00010158,-0.053751
KLHL6,3,0.805,4.0253e-06,1.2432
STAB1,3,0.805,8.679199999999999e-50,1.0904
C2orf69,2,0.805,0.018679,1.1471
ZDHHC18,1,0.805,0.0024011,1.6609
MTHFD2,2,0.805,0.0023975,0.48066
RBMS2,12,0.805,1.3611e-06,0.83531
ERCC5,13,0.805,2.732e-13,0.11799
RP11-977G19.10,12,0.805,0.0024046,1.1508
TBCE,1,0.805,1.7455e-08,0.121
SLC26A7,8,0.805,1.9125e-09,0.011666
PCDH8,13,0.806,3.424e-05,1.9041
SPOCD1,1,0.806,2.491e-12,1.0181
FGD2,6,0.806,5.7084e-09,0.70456
TAP2,6,0.806,6.8911e-11,1.2668
PDAP1,7,0.806,0.049626,1.372
BYSL,6,0.806,9.9642e-05,0.48771
IGF1,12,0.806,0.2716,1.5399
UBE2QL1,5,0.806,0.6783,2.1407
GIP,17,0.806,0.27108,-0.00966
ZNF70,22,0.806,0.0023729,0.41291
QARS,3,0.806,2.6952e-13,0.2201
RPL36,19,0.806,0.67802,1.1896
DRD3,3,0.807,0.0023694,1.4698
WIPF3,7,0.807,0.002355,-0.33135
SLC33A1,3,0.807,9.8902e-05,1.9778
DNHD1,11,0.807,1.2016e-72,3.4791
POLB,8,0.807,3.4002e-05,1.5659
TESK2,1,0.807,4.4552e-07,0.49443
MDH2,7,0.807,0.0066821,0.025365
RNF115,1,0.807,0.002366,0.46815
DPP3,11,0.807,6.7954e-11,1.2864
CHMP5,9,0.807,0.0066514,0.73486
CRISPLD1,8,0.808,1.8207e-09,0.48702
NDUFS1,2,0.808,6.626e-11,-0.075123
NT5DC3,12,0.808,1.4702e-07,1.8153
PDE4C,19,0.808,1.4755e-07,1.4136
GAPDHS,19,0.808,3.3372e-05,0.33947
NXNL2,9,0.808,0.67718,-0.16669
SUPT20H,13,0.808,2.7313e-14,1.18
GABRG1,4,0.808,9.7634e-05,0.51925
NOV,8,0.808,0.0066442,0.23251
SLC25A22,11,0.808,0.0066081,0.91277
ANXA2,15,0.808,9.7728e-05,0.28399
FBXO43,8,0.809,1.1268e-05,0.67007
CCNH,5,0.809,0.00081328,0.10176
KPTN,19,0.809,1.1348e-05,1.4464
MFSD5,12,0.809,0.0023254,1.0424
CCDC91,12,0.809,3.8084e-06,0.43098
KIAA1147,7,0.809,0.00028067,1.3363
TMEM145,19,0.809,1.4675e-07,0.85414
AASS,7,0.809,2.3101e-12,0.88222
SPATA17,1,0.809,1.4658e-07,-0.78709
INSM1,20,0.809,0.26893,1.1192
MAT1A,10,0.809,0.00080978,1.654
RBBP9,20,0.81,0.048641,0.2345
ADO,10,0.81,0.48027,1.6131
NOMO3,16,0.81,9.5825e-05,1.1119
LIN37,19,0.81,0.0065239,0.98522
IL2,4,0.81,0.47968,1.4303
LRRC73,6,0.81,0.048718,1.6195
PAPOLB,7,0.81,0.0023083,-0.14886
AMDHD2,16,0.81,0.002313,0.5198
ZNF300,5,0.81,1.1172e-05,0.68139
CHST2,3,0.811,0.018039,2.1428
RPP25L,9,0.811,0.67629,0.79337
CASP8,2,0.811,3.7236e-06,1.0099
EIF4E3,3,0.811,0.018058,0.51038
GAS2,11,0.811,0.00080175,0.44001
HRH2,5,0.811,0.1217,2.5306
SRSF2,17,0.811,0.47898,2.7085
CDC123,10,0.811,1.1066e-05,1.0971
GSTCD,4,0.811,1.4216e-07,0.34454
GTF2H4,6,0.811,4.2353e-07,1.0985
TEAD4,12,0.811,3.233e-05,1.3848
PIGO,9,0.812,6.1434e-11,0.9565
CEP97,3,0.812,2.0368e-11,0.68158
KCNU1,8,0.812,2.7854e-16,0.0050806
GPR133,12,0.812,2.5037e-14,0.32625
PPIL1,6,0.812,0.12108,0.5799
ATP5C1,10,0.812,0.00079192,0.79968
LRCH3,3,0.812,6.6316e-12,0.27794
SPG11,15,0.812,1.6013e-39,-1.3926
PDK1,2,0.812,1.0963e-05,1.1472
WNT11,11,0.812,0.0064383,1.4074
ARHGAP40,20,0.812,4.1535e-07,1.5303
CEP135,4,0.813,3.5892e-22,0.080386
DIRAS2,9,0.813,0.47802,1.9643
SOHLH1,9,0.813,0.00226,-0.72388
BRCC3,X,0.813,0.0063932,2.6703
OR12D2,6,0.813,0.6753,0.4483
GJA5,1,0.813,0.017871,1.1112
IL6R,1,0.813,3.1681e-05,0.68917
SH3TC2,5,0.813,8.3409e-16,-0.71307
PRPF18,10,0.814,0.00026823,2.545
PRSS16,6,0.814,4.0615e-07,1.2516
COL9A1,6,0.814,3.0742e-19,0.18642
PARP9,3,0.814,4.998e-09,1.0113
PIP5K1B,9,0.814,1.368e-07,2.4822
KCTD17,22,0.814,0.017683,1.5819
CRY1,12,0.814,1.662e-09,1.6078
KCNQ1,11,0.814,4.5453e-08,1.8321
DAW1,2,0.814,1.0715e-05,0.16046
RAVER2,1,0.814,1.5171e-08,0.7203
ACAD9,3,0.814,4.5256e-08,-0.17875
COPG2,7,0.815,0.0063266,0.9757
UBE2D1,10,0.815,0.11989,2.0311
IL12A,3,0.815,0.04746,0.83217
ATP12A,13,0.815,7.1254e-14,0.83382
WDR35,2,0.815,1.0461999999999999e-22,0.59918
RBM28,7,0.815,6.2318e-12,0.17914
ALPK2,18,0.815,1.0375999999999998e-21,0.4055
FKBP9,7,0.815,1.0584e-05,1.1556
PLCD3,17,0.815,1.3373e-07,1.5895
COX7B,X,0.815,0.67459,0.42394
ST6GALNAC6,9,0.815,0.0022236,1.5678
AMN,14,0.816,0.00026529,0.60643
ENTPD6,20,0.816,1.1814e-06,0.7661
GPR34,X,0.816,0.26387,1.7093
COLEC11,2,0.816,0.017539,0.56402
RABGGTA,14,0.816,1.7504e-10,0.53001
CTNNAL1,9,0.816,1.737e-10,0.68843
GRK1,13,0.816,3.0677e-05,0.43171
IGFBP2,2,0.816,0.11898,1.71
ATAT1,6,0.816,1.3216e-07,1.3785
KATNAL2,18,0.816,1.1784e-06,0.42107
IRGC,19,0.816,0.047269,1.1419
PFDN4,20,0.816,0.47588,1.2102
DBT,1,0.816,1.0467e-05,0.9906
ZNF408,11,0.816,1.1792e-06,0.71209
BDKRB2,14,0.817,0.11863,0.98091
CYP17A1,10,0.817,0.00026255,1.2356
PCDHGA10,5,0.817,1.1725e-06,1.0039
RWDD4,4,0.817,0.017447,0.69289
DDX31,9,0.817,1.9816e-12,0.033416
CD63,12,0.817,0.017439,0.76667
VSIG10,12,0.817,3.4841e-06,0.58288
SYPL1,7,0.818,0.046723,0.44746
GREM1,15,0.818,0.47436,1.5452
CAMK1,3,0.818,3.0134e-05,0.52275
VPS16,20,0.818,2.2652e-15,0.82335
FDXR,17,0.818,1.1493e-06,0.90608
ZNF565,19,0.818,1.0169e-05,1.4452
IFT140,16,0.818,9.914e-24,-0.81057
TXNDC11,16,0.818,1.6814e-10,-1.2814
NEK2,1,0.818,1.1514e-06,1.2963
SPINT1,15,0.818,1.0175e-05,0.073065
CYP21A2,6,0.818,0.00025989,1.1537
PLOD3,7,0.819,6.1305e-13,0.15755
GPR179,17,0.819,3.2280000000000002e-27,0.8354
C19orf43,19,0.819,0.47353,1.883
MSX2,5,0.819,0.26173,0.47089
CBWD2,2,0.819,0.0061291,-0.15157
AMICA1,11,0.819,0.000747,0.34027
HSD11B2,16,0.819,0.11777,1.0211
TMX1,14,0.819,0.00074607,-0.22968
ZBTB32,19,0.819,0.00025845,0.95706
ABCG4,11,0.819,3.8043e-07,2.2691
NPR3,5,0.819,1.006e-05,0.80808
GFOD2,16,0.819,0.046624,1.0096
CERCAM,9,0.819,1.1441e-06,0.16743
TTI1,20,0.82,4.8982e-10,0.21973
FAIM2,12,0.82,8.7012e-05,1.595
CCDC101,16,0.82,0.002139,3.0577
ENOPH1,4,0.82,0.0061227,1.8267
WNT7B,22,0.82,0.00074076,1.9927
GABARAP,17,0.82,0.26129,1.5503
PPIP5K2,5,0.82,8.5759e-21,3.8022
TANGO6,16,0.82,6.3244e-14,0.45132
DCAF17,2,0.82,3.74e-07,0.81556
LCLAT1,2,0.82,0.00025546,0.92316
DGKG,3,0.82,6.0186e-13,0.12455
AGFG2,7,0.821,0.00025383,0.89017
DSG4,18,0.821,5.9129e-13,-1.0163
ISPD,7,0.821,0.00025176,0.41281
ASPH,8,0.821,6.6268e-15,0.20655
ZNF585B,19,0.821,3.6865e-07,0.50337
BEX4,X,0.821,0.67195,0.24036
SLC16A1,1,0.821,0.00073565,1.6542
NMD3,3,0.821,4.1006e-08,0.18511
THOC7,3,0.821,0.0060818,1.0921
VWA9,15,0.821,9.833e-06,1.0973
GNPTAB,12,0.821,7.682400000000001e-19,1.188
TMEM161A,19,0.821,1.1047e-06,0.57361
PCNT,21,0.821,4.0172e-58,-1.7324
RBM12,20,0.822,0.0021086,1.243
TLX3,5,0.822,0.25993,1.3997
DNAJC1,10,0.822,1.3254e-08,0.51072
IFNG,12,0.822,0.47156,1.609
PLEKHA4,19,0.822,1.7952e-12,0.61027
CHRNA4,20,0.822,8.5474e-05,0.34154
CHRNB2,1,0.822,0.00072964,2.1034
RNF150,4,0.822,0.00073035,0.97052
H2AFV,7,0.822,0.4713,2.2362
MFSD6,2,0.822,3.2855e-06,1.7747
SLC38A7,16,0.822,2.8965e-05,1.002
EIF3K,19,0.822,0.0021017,0.76095
UBOX5,20,0.823,0.00072138,0.92691
AREG,4,0.823,0.47061,0.80644
GALNTL6,4,0.823,4.3214e-09,2.1396
ARVCF,22,0.823,5.0422e-11,-0.26979
RASGEF1C,5,0.823,9.6077e-06,1.7047
GIF,11,0.823,0.00024911,0.35809
PGRMC1,X,0.823,0.6711,0.079992
C16orf52,16,0.823,0.25928,1.4258
SELT,3,0.824,0.11531,1.0136
SGCD,5,0.824,0.0020725,0.19528
MFHAS1,8,0.824,4.2417e-09,-1.9428
TMED9,5,0.824,0.0059542,0.92919
PDE4DIP,1,0.824,2.6099e-37,-1.403
RAB15,14,0.824,0.0059597,1.155
SLC12A1,15,0.824,6.6809e-17,1.1612
TRAK2,2,0.824,1.9123e-14,0.48679
CD247,1,0.824,0.016734,-0.30741
STRA6,15,0.824,1.5068e-10,0.5993
WDR77,1,0.824,0.0002454,1.0817
CEP152,15,0.824,2.6574e-27,0.027913
CYP7A1,8,0.824,0.00024507,-0.45939
LIPF,10,0.824,0.00072091,0.42136
TMEM256-PLSCR3,17,0.824,0.0059458,0.82663
SLC25A33,1,0.825,0.0059223,0.83521
CACNG4,17,0.825,0.016603,1.8236
ALDH3A2,17,0.825,9.4055e-06,0.6824
HEATR3,16,0.825,3.5205e-07,1.1363
NOL8,9,0.825,1.7627e-13,0.4382
TFIP11,22,0.825,1.6636e-12,1.3512
ANKRD18B,9,0.825,1.492e-10,0.46968
FAM133B,7,0.825,0.00071452,0.89172
GMNN,6,0.825,0.1149,0.99111
TRNAU1AP,1,0.825,0.00024398,1.6728
ETFB,19,0.825,0.016558,0.42266
NCK1,3,0.825,0.0020702,1.2684
SDHB,1,0.825,0.00024397,-0.10185
PEX16,11,0.825,8.2934e-05,0.45239
KBTBD8,3,0.825,9.4672e-06,1.2541
SLC6A12,12,0.825,1.2837e-08,1.5854
TMC7,16,0.825,4.5498e-10,1.2582
HBG2,11,0.826,0.66982,1.3484
BCL2L2,14,0.826,0.46908,1.0525
CHPT1,12,0.826,0.00024252,0.82329
RINT1,7,0.826,5.293e-13,0.82509
TLDC2,20,0.826,0.016515,-0.29712
GSX2,4,0.826,0.25702,0.59161
LMBR1,7,0.826,1.2575e-08,0.84904
PAICS,4,0.826,2.7905e-05,1.1343
GLTP,12,0.826,0.11475,0.5255
KRT85,12,0.826,3.1183e-06,0.39456
ATP5G3,2,0.826,0.25722,1.0187
EMILIN3,20,0.827,9.24e-06,0.27927
AP4B1,1,0.827,1.335e-09,0.1307
POU2F3,11,0.827,1.0299e-06,0.31745
ID2,2,0.827,0.66939,0.017476
RP11-302B13.5,12,0.827,0.25656,2.3063
WNT6,2,0.827,0.016431,1.7291
SRPRB,3,0.827,0.0058306,-0.0057016
JOSD1,22,0.827,0.044609,1.813
TPM2,9,0.827,0.00023947,2.1346
ATAD3A,1,0.827,4.0861e-09,0.012557
SNX14,6,0.827,6.0711e-17,1.8489
CPT1B,22,0.827,1.5291e-11,0.49431
SLC16A7,12,0.827,0.0058162,0.27907
ZNF775,7,0.827,0.00070042,1.4908
KIF16B,20,0.827,2.1000000000000001e-19,1.1016
PUS7,7,0.827,1.3457e-09,1.4282
LILRB3,19,0.827,3.1087e-06,-1.0136
NECAB3,20,0.827,2.751e-05,0.96358
AASDH,4,0.828,1.6629e-13,0.255
DTHD1,4,0.828,3.3986e-07,0.98873
ASIC3,7,0.828,3.4071e-07,-0.63097
C17orf47,17,0.828,2.7268e-05,0.77037
SCN11A,3,0.828,6.9339e-26,0.96431
SRR,17,0.828,0.0057964,0.8811
CSRP2BP,20,0.828,1.326e-09,0.77498
UFSP2,4,0.828,3.0583e-06,0.47628
KNTC1,12,0.828,5.3346e-43,0.91258
C15orf26,15,0.828,0.016334,0.35784
LDLRAD3,11,0.829,0.016213,0.7035
APEH,3,0.829,5.0018e-13,1.2085
CNTROB,17,0.829,1.8222e-16,0.67374
CRB1,1,0.829,5.6266e-16,-1.2832
DNAJB4,1,0.829,0.016227,1.2077
KCNJ15,21,0.829,0.11313,1.1806
BANK1,4,0.829,4.7905e-12,-0.23006
FAM13A,4,0.829,1.8976e-18,0.80063
TUT1,11,0.829,4.5457e-11,0.4221
ANKRD54,22,0.829,0.002006,0.93495
TLX2,2,0.829,0.2548,0.49472
GPR21,9,0.83,0.1128,0.41564
TMEM66,8,0.83,0.0019871,0.48893
LRRC39,1,0.83,0.00023447,0.25555
ALG8,11,0.83,1.1804e-08,0.60409
CCDC8,19,0.83,0.25395,-0.15913
MPPED1,22,0.83,0.0019823,2.6028
C2CD4C,19,0.83,0.46612,1.4302
MSANTD3,9,0.83,0.016091,1.3465
CSNK2B-LY6G5B-1181,6,0.83,0.0056992,2.9026
MAN1B1,9,0.83,1.1812e-08,-0.72627
COX11,17,0.83,0.016088,0.66585
PRRG4,11,0.83,0.11277,1.3126
MIEF2,17,0.831,0.016043,0.51296
CLU,8,0.831,7.8072e-05,0.79609
ECEL1,2,0.831,4.7923e-13,0.47844
TMEM117,12,0.831,2.9608e-06,1.5599
GLS2,12,0.831,1.3239e-10,2.351
KCNK4,11,0.831,0.005677,0.75399
FBXL12,19,0.831,0.043901,0.91875
SERP2,13,0.831,0.6681,0.91676
SHOX2,3,0.831,0.016059,-0.099811
CDR2L,17,0.832,0.0019629,1.7287
COL26A1,7,0.832,2.9274e-06,0.18351
LIX1,5,0.832,0.0019611,0.28134
HIBADH,7,0.832,0.0056303,0.13128
DENND6B,22,0.832,3.7856e-09,0.86246
COPRS,17,0.832,0.25305,0.023138
YPEL5,2,0.832,0.46474,2.2899
RPLP2,11,0.832,0.66744,-0.82896
SPTLC3,20,0.832,3.2277e-07,1.1749
LEP,7,0.832,0.46491,0.90973
C2orf78,2,0.832,9.7632e-07,0.40204
OVCH1-AS1,12,0.832,0.46492,0.60966
SLC35F5,2,0.832,3.5033e-08,0.97866
TAF11,6,0.832,0.11202,0.99485
KIFC2,8,0.832,1.3832e-11,-1.4068
IL4R,16,0.832,0.00023013,0.76905
CDKN3,14,0.833,0.0019455,1.1878
IL18R1,2,0.833,8.625e-06,0.97387
GPR65,14,0.833,0.1114,0.70432
TSNARE1,8,0.833,9.6275e-07,-0.054001
SLC1A1,9,0.833,8.6876e-06,-1.3329
SYF2,1,0.833,0.0056136,0.25699
ESCO2,8,0.833,3.1642e-07,0.40775
ATP2A1,16,0.833,1.5354e-14,1.5388
RAB23,6,0.833,0.0056143,0.31775
ARHGAP24,4,0.833,3.9495e-10,0.15336
GPLD1,6,0.833,1.5871e-15,-0.296
ERLIN2,8,0.833,0.00066662,1.8781
PGAP3,17,0.833,0.00194,0.68547
SPG21,15,0.834,0.00066076,1.1588
GPD1,12,0.834,0.0055506,0.16711
PSMB6,17,0.834,0.015779,1.4582
